DATE,OPP,RESULT,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,Player Name,Player Team,Year,REGULAR SEASON STATS
Thu 2/15,"vs
MIN","L
128-91",18,1-4,25.0,0-0,0.0,2-4,50.0,2,0,0,2,1,1,4,Dalano_Banton,Bos,2024,
Tue 2/13,"vs
MIN","L
121-109",26,4-8,50.0,1-2,50.0,7-10,70.0,5,3,0,1,2,4,16,Dalano_Banton,Bos,2024,
Sat 2/10,"vs
NO","L
93-84",25,5-14,35.7,1-5,20.0,1-1,100.0,3,3,0,0,0,2,12,Dalano_Banton,Bos,2024,
"PREVIOUSLY WITH BOS, ACQUIRED BY POR",,,,,,,,,,,,,,,,,Dalano_Banton,Bos,2024,
Sun 2/4,"vs
MEM","W
131-91",7,0-4,0.0,0-2,0.0,0-0,0.0,1,2,0,0,0,0,0,Dalano_Banton,Bos,2024,
Thu 2/1,"vs
LAL","L
114-105",2,0-0,0.0,0-0,0.0,2-2,100.0,1,1,0,0,0,0,2,Dalano_Banton,Bos,2024,
FEBRUARY,,,15.6,2.0-6.0,33.3,0.4-1.8,22.2,2.4-3.4,70.6,2.4,1.8,0.0,0.6,0.6,1.4,6.8,Dalano_Banton,Bos,2024,
Sat 1/27,"vs
LAC","L
115-96",12,1-4,25.0,0-2,0.0,0-0,0.0,0,3,0,0,0,1,2,Dalano_Banton,Bos,2024,
Thu 1/25,"@
MIA","W
143-110",7,0-1,0.0,0-0,0.0,0-0,0.0,0,2,0,1,1,0,0,Dalano_Banton,Bos,2024,
Wed 1/17,"vs
SA","W
117-98",4,0-2,0.0,0-1,0.0,1-2,50.0,2,0,0,0,0,0,1,Dalano_Banton,Bos,2024,
Thu 1/11,"@
MIL","L
135-102",18,1-5,20.0,1-2,50.0,1-2,50.0,1,3,1,2,1,0,4,Dalano_Banton,Bos,2024,
Mon 1/8,"@
IND","L
133-131",4,0-0,0.0,0-0,0.0,0-0,0.0,0,0,0,0,3,1,0,Dalano_Banton,Bos,2024,
Sat 1/6,"@
IND","W
118-101",1,0-0,0.0,0-0,0.0,0-0,0.0,0,0,0,0,0,0,0,Dalano_Banton,Bos,2024,
Fri 1/5,"vs
UTAH","W
126-97",6,1-2,50.0,0-1,0.0,3-4,75.0,1,1,0,0,1,0,5,Dalano_Banton,Bos,2024,
JANUARY,,,7.3,0.4-2.0,21.4,0.1-0.9,16.7,0.7-1.1,62.5,0.6,1.3,0.1,0.4,0.9,0.3,1.7,Dalano_Banton,Bos,2024,
Sun 12/31,"@
SA","W
134-101",11,0-2,0.0,0-0,0.0,4-4,100.0,4,1,0,0,2,2,4,Dalano_Banton,Bos,2024,
